Scientific,Common,SpeciesVal 
Erigeron philadelphicus,Philadelphia fleabane,20
Erigeron pulchellus,robin's-plantain,2
Erigeron strigosus,daisy fleabane,12
Erodium cicutarium,common stork's-bill,1
Erucastrum gallicum,Hairy Rocket,1
Eryngium amethystinum,Italian Eryngo,1
Eryngium heterophyllum,Wright's eryngo,1
Erysimum cheiranthoides,wormseed wallflower,4
Erysimum cheiri,Wallflower,1
Erythranthe,,1
Erythronium,fawn lilies,4
Erythronium americanum,yellow trout lily,25
Eschscholzia minutiflora,little gold poppy,1
Euonymus,spindles,20
Euonymus alatus,winged euonymus,18
Euonymus atropurpureus,wahoo,1
Euonymus europaeus,Spindle,31
Euonymus fortunei,fortune's spindle,17
Euonymus obovatus,Running Strawberry-bush,2
Eupatorium,bonesets,2
Eupatorium altissimum,tall boneset,1
Eupatorium perfoliatum,common boneset,6
Euphorbia epithymoides,Cushion Spurge,1
Euphorbia helioscopia,Sun spurge,1
Euphorbia maculata,spotted spurge,3
Euphorbia marginata,snow-on-the-mountain,3
Euphorbia myrsinites,Donkey Tail,1
Euphorbia oblongata,eggleaf spurge,1
Euphorbia virgata,leafy spurge,4
Eurybia macrophylla,large-leaved aster,11
Eusideroxylon,ironwood,1
Euthamia graminifolia,flat-topped goldenrod,6
Eutrochium,Joe-Pye weeds,5
Eutrochium fistulosum,Hollow Joe-Pye Weed,2
Eutrochium maculatum,spotted Joe-Pye weed,12
Eutrochium purpureum,Sweet Joe-Pye-weed,1
Fabaceae,legumes,3
Faboideae,,1
Fagaceae,beech family,1
Fagales,beeches, oaks, walnuts, and allies,1
Fagopyrum,,1
Fagopyrum esculentum,Common Buckwheat,1
Fagus,beeches,1
Fagus grandifolia,American beech,13
Fagus sylvatica,European beech,1
Fagus sylvatica purpurea,copper beech,1
Fallopia,,3
Fallopia convolvulus,Black-bindweed,1
Festuca,Fescues,4
Festuca californica,California fescue,1
Festuca rubra,red fescue,10
Festuca subverticillata,Nodding Fescue,16
Ficaria verna,lesser celandine,8
Fissidens,pocket mosses,4
Fissidens adianthoides,Maidenhair Pocket Moss,1
Fissidens taxifolius,Common Pocket-moss,2
Foeniculum vulgare,fennel,1
Forsythia,,11
Forsythia × intermedia,Border Forsythia,4
Forsythia suspensa,Golden-bell,2
Fragaria,strawberries,4
Fragaria × ananassa,garden strawberry,2
Fragaria vesca,Wild strawberry,16
Fragaria virginiana,Virginia strawberry,5
Frangula alnus,alder buckthorn,5
Fraxinus,ashes,10
Fraxinus americana,white ash,6
Fraxinus excelsior,European ash,8
Fraxinus nigra,black ash,3
Fraxinus pennsylvanica,green ash,11
Fraxinus pennsylvanica pennsylvanica,red ash,2
Frullania eboracensis,New York Scalewort,3
Fumarioideae,,1
Funaria,,1
Funaria hygrometrica,Bonfire moss,1
Gaillardia,Blanket Flowers,7
Gaillardia pulchella,Indian blanket,4
Galanthus,snowdrops,3
Galanthus elwesii,greater snowdrop,1
Galanthus nivalis,common snowdrop,3
Galeopsis tetrahit,Common hemp-nettle,4
Galinsoga,galinsogas,2
Galinsoga parviflora,Gallant Soldier,1
Galinsoga quadriradiata,shaggy soldier,7
Galium,bedstraws,5
Galium aparine,catchweed bedstraw,7
Galium asprellum,rough bedstraw,1
Galium boreale,Northern Bedstraw,2
Galium mollugo,Hedge Bedstraw,4
Galium obtusum,Bluntleaf Bedstraw,1
Galium odoratum,Sweet Woodruff,2
Galium palustre,Common Marsh-bedstraw,2
Galium tinctorium,Stiff Marsh Bedstraw,1
Galium trifidum,three-petal bedstraw,1
Galium triflorum,fragrant bedstraw,2
Galium verum,Lady's Bedstraw,1
Gazania,Treasure Flowers,1
Gentianopsis crinita,greater fringed gentian,2
Geraniaceae,Geranium family,2
Geranium,geraniums and cranesbills,10
Geranium caespitosum,pinewoods geranium,1
Geranium maculatum,wild geranium,22
Geranium molle,Dove's-foot crane's-bill,1
Geranium pratense,Meadow Crane's-bill,1
Geranium pusillum,Small-flowered Crane's-bill,1
Geranium robertianum,herb Robert,15
Geranium sanguineum,Bloody Crane's-bill,3
Geranium sylvaticum,wood crane's-bill,1
Gerbera,gerbera daisies,1
Geum,avens,17
Geum aleppicum,Yellow Avens,5
Geum canadense,white avens,7
Geum fragarioides,barren strawberry,3
Geum macrophyllum,large-leaved avens,2
Geum rivale,Water Avens,1
Geum triflorum,prairie smoke,2
Geum urbanum,Wood Avens,16
Gillenia trifoliata,Bowman's root,1
Gladiolus dalenii,dragon's-head lily,1
Glandularia bipinnatifida,Dakota mock vervain,1
Glechoma hederacea,ground-ivy,21
Gleditsia,,1
Gleditsia triacanthos,honey locust,9
Gleditsia triacanthos inermis,thornless honey locust,2
Glyceria canadensis,rattlesnake mannagrass,1
Glyceria striata,Fowl Mannagrass,6
Glycine,Soybeans,1
Grewia occidentalis,Crossberry,1
Grimmia laevigata,Grimmia Dry Rock Moss,1
Grimmiaceae,Rock Mosses,1
Gypsophila scorzonerifolia,Glandular Baby's-breath,1
Hackelia,,2
Hackelia virginiana,stickseed,12
Hamamelis virginiana,American witch-hazel,8
Hedera,ivies,2
Hedera helix,common ivy,15
Hedwigia ciliata,Hedwig's fringeleaf moss,4
Heliantheae,sunflowers and allies,16
Helianthus,sunflowers,10
Helianthus annuus,common sunflower,5
Helianthus divaricatus,woodland sunflower,23
Helianthus giganteus,giant sunflower,1
Helianthus maximiliani,Maximilian sunflower,1
Helianthus strumosus,harsh sunflower,5
Helianthus tuberosus,Jerusalem artichoke,12
Heliconia rostrata,Hanging Lobster Claw Heliconia,1
Heliopsis,,1
Heliopsis helianthoides,false sunflower,14
Hemerocallis,daylilies,15
Hemerocallis fulva,orange day-lily,25
Hepatica acutiloba,sharp-lobed hepatica,7
Hepatica americana,round-lobed hepatica,3
Heracleum,hogweeds,7
Heracleum mantegazzianum,Giant Hogweed,1
Heracleum maximum,common cowparsnip,10
Heracleum sphondylium,hogweed,1
Hesperis,,4
Hesperis matronalis,dame's rocket,54
Heuchera,Alumroots,2
Heuchera micrantha,crevice alumroot,2
Heuchera sanguinea,coralbells,1
Hibisceae,,1
Hibiscus,hibiscuses,1
Hibiscus moscheutos,swamp rose mallow,4
Hibiscus rosa-sinensis,Chinese hibiscus,1
Hibiscus syriacus,common hibiscus,1
Hieracium gronovii,Hairy Hawkweed,1
Hieracium lachenalii,common hawkweed,4
Hippophae rhamnoides,Sea-buckthorn,3
Honckenya,,1
Hordeum jubatum,squirreltail,15
Hosta,hostas,1
Humulus,Hops,1
Hydrangea,hydrangeas,9
Hydrangea arborescens,wild hydrangea,5
Hydrangea aspera,,1
Hydrangea macrophylla,mophead hydrangea,5
Hydrangea petiolaris,Climbing Hydrangea,1
Hydrangea quercifolia,Oakleaf hydrangea,3
Hydrophyllum,,1
Hydrophyllum canadense,Broad-leaf Waterleaf,1
Hydrophyllum virginianum,Virginia waterleaf,31
Hylocomiaceae,,2
Hylodesmum glutinosum,pointed-leaved tick-trefoil,9
Hylotelephium,,4
Hylotelephium telephium,Orpine,3
Hypericaceae,St. John's wort family,1
Hypericum,St. John's worts,8
Hypericum fraseri,Fraser's marsh St. John's-wort,1
Hypericum perforatum,common St. John's-wort,13
Hypnales,,8
Hypnum,,1
Hypnum cupressiforme,Cypress-leaved Plait-moss,2
Hypochaeridinae,,1
Ilex,hollies,2
